I_d,I_q,Psi_d,Psi_q,L_dd,L_dq,L_qd,L_qq
-10.0,-10.0,0.011735205980662026,-0.015846458427159902,0.0008339958957651523,0.00021714079356322376,0.00021574345535133534,0.000886936625720233
-10.0,-5.0,0.01251844107236931,-0.009825067032291517,0.001014675223583234,3.689522696842594e-05,3.6185283923798575e-05,0.0016785588249297416
-10.0,0.0,0.012477138162931448,0.0003105840011042759,0.0010659536626484699,3.8008044106439477e-06,-8.71774548710125e-06,0.0021542124901310503
-10.0,5.0,0.012448478628894729,0.010330738167281264,0.0010027234740418369,-5.9132495989690687e-05,-5.913669588943085e-05,0.0016164582426894001
-10.0,10.0,0.011596245139604826,0.016143426010443083,0.0008269875234550054,-0.00022676884982025198,-0.0002264200005511918,0.0008461930328483246
-10.0,15.0,0.01024386626933371,0.018867641258586407,0.0006998053046518382,-0.0002691636296417796,-0.00027042625009373624,0.00037173926152597666
-10.0,20.0,0.0090501238845795,0.02034967538167561,0.0006168148056274203,-0.00020347853496923636,-0.00020366947454388958,0.0002405606370605593
-10.0,25.0,0.008187866053516873,0.021379523963749213,0.0005441455722823167,-0.00014938371260434,-0.00014959406015250696,0.00018127191298279076
-10.0,30.0,0.007543708954928961,0.02218072408481374,0.0004990969379214566,-5.9919737584165396e-05,-0.00011989374174582257,7.669751121684514e-05
-5.0,-30.0,0.010058939990150511,-0.021392924533891813,0.00046616649688653583,8.114166729486664e-05,0.00016057015116728305,9.337999356291285e-05
-5.0,-25.0,0.010941049034067448,-0.02038971025481554,0.0005087389936808931,0.00020699954882417174,0.00020605645726801797,0.00023343161321237441
-5.0,-20.0,0.012122012104223135,-0.019037180170459342,0.0005509113942813532,0.0002666187062498332,0.00026583807759909,0.0003132180975862031
-5.0,-15.0,0.013627163456779794,-0.0171736608295573,0.0005851865905382307,0.00033583544356589065,0.0003341813484161107,0.000444146240505821
-5.0,-10.0,0.01541449819601049,-0.014393128412191498,0.0006277195554399987,0.00035686096190711074,0.00035662417664739104,0.0007164489368777866
-5.0,-5.0,0.01679530499160984,-0.009064905188207005,0.0006869858359103429,0.00023593273111375128,0.0002361814267083557,0.0013769967909713667
-5.0,0.0,0.017299781802848645,0.0002559366648880473,0.0007914349320499786,-5.209790475358234e-06,-1.3473712891465066e-05,0.002134339326804939
-5.0,5.0,0.01668242506506511,0.009463460896952325,0.0006900279163544612,-0.0002478377413781602,-0.000248991517357658,0.001344848523943711
-5.0,10.0,0.015259409819301666,0.014635212095033429,0.0006285453802236962,-0.00036077195807406037,-0.000362802053080806,0.0006878645106898509
-5.0,15.0,0.013479978929813376,0.017333529520866982,0.0005876139742809838,-0.0003318574107502475,-0.00033293422567019765,0.00043336798877194587
-5.0,20.0,0.011993098874700622,0.019157143179440804,0.0005522608586167769,-0.0002637898419815382,-0.0002642543061081587,0.00030770277524603504
-5.0,25.0,0.010823984599046314,0.020491260896589304,0.0005101699337038078,-0.00020536446889398002,-0.0002057508172132353,0.00023133252636416536
-5.0,30.0,0.00995245467259336,0.021482599423157705,0.00046502273742333723,-7.963609618083782e-05,-0.0001591161826870482,9.21968168533842e-05
0.0,-30.0,0.01230150359372532,-0.020499683653708276,0.0004287801996757865,9.84636910703472e-05,0.00019387980994156793,0.00011476778787282444
0.0,-25.0,0.013345707803646602,-0.01927027142556026,0.00044999165653153656,0.00023811974558094934,0.00023677182202088066,0.0002853876131589597
0.0,-20.0,0.014655129095057971,-0.01764264755459543,0.0004598843241273383,0.00028667901167147875,0.0002855417701969782,0.0003719458575242968
