input_v_d_V,input_v_q_V,input_omega_mech_1_s,input_load_torque,output_i_d_A,output_i_q_A,output_torque_Nm,output_omega_mech_1_s
1.000000,0.500000,0.000000,0.000000,1.000000,0.499984,0.148495,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499985,0.148496,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499986,0.148496,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499987,0.148496,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499988,0.148496,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499989,0.148497,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499989,0.148497,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499990,0.148497,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499991,0.148497,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499991,0.148497,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499992,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499992,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499993,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499993,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499994,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499994,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499995,0.148498,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499995,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499995,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499996,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499996,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499996,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499996,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499997,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499997,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499997,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499997,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499997,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148499,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499998,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.499999,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.148500,0.000000
